file_name,а,без,было,в,время,все,всех,даже,для,до,его,если,же,за,и,из,их,как,когда,которые,который,может,мы,на,не,нет,но,он,оно,от,партии,по,при,рабочих,с,со,социал,так,тем,теперь,того,только,у,уже,что,чтобы,это,этой,более,борьбы,бы,был,быть,во,вопрос,всего,г,демократии,ее,есть,еще,или,им,к,лишь,между,можно,нам,нас,ни,о,об,она,они,организации,очень,политической,пролетариата,против,революции,россии,своей,себе,себя,то,том,чем,эти,этом,этот,будет,были,дело,именно,ли,т,этого,была,тов,я,author_folder
parvus_virIV_samoderzh_i_reformy_I.txt,24,3,10,72,1,18,0,4,11,9,14,13,9,12,93,5,12,8,5,7,5,13,4,50,52,2,26,8,44,8,1,17,11,3,21,6,1,6,13,2,4,15,2,7,33,12,14,3,7,1,39,5,3,3,1,4,0,1,8,1,12,2,3,20,0,2,4,2,1,3,4,2,8,8,2,1,21,3,9,3,17,7,6,4,10,4,6,3,3,6,9,4,0,5,3,2,11,1,0,1,parvus
parvus_virI_kapitalizm_i_voyna_I.txt,21,7,10,143,15,25,1,7,14,15,7,3,22,18,163,9,9,29,3,5,3,6,3,67,33,2,28,15,2,10,0,17,7,1,46,6,4,16,8,6,6,12,5,14,35,13,19,2,10,0,7,9,4,8,5,6,0,3,38,0,16,4,0,42,0,13,1,0,0,2,14,4,24,8,0,4,2,0,5,2,20,12,15,9,24,2,10,4,5,4,2,3,1,1,4,1,3,14,0,3,parvus
parvus_vnesh_politika_germanii.txt,4,1,1,19,1,3,0,0,6,0,1,1,1,4,27,4,0,4,3,1,3,0,1,8,14,1,6,2,1,3,0,1,3,0,9,1,0,1,2,3,1,4,2,6,7,2,3,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0,0,5,0,3,0,0,1,1,5,1,3,1,0,0,1,0,0,0,6,1,2,0,3,1,0,0,2,0,0,1,0,1,1,0,0,2,0,0,parvus
plehanov_beliy_terror_I.txt,8,1,4,62,6,7,2,3,11,4,20,5,4,7,85,6,4,13,5,1,2,6,20,36,26,1,13,11,15,4,1,14,2,5,17,1,1,5,1,18,3,12,5,5,45,6,11,1,12,4,8,5,7,2,4,4,0,1,2,1,9,9,1,16,2,0,2,6,6,5,6,0,2,1,1,2,0,4,2,1,3,1,1,5,8,4,10,2,2,5,0,4,1,3,0,1,6,2,0,9,plehanov
plehanov_cant_vs_kant.txt,44,5,9,283,15,26,8,17,33,18,82,38,42,11,275,46,33,69,14,15,8,20,58,88,167,33,81,78,12,29,6,37,8,1,74,7,22,38,21,22,17,32,21,11,174,19,58,11,14,5,48,20,14,10,16,7,155,10,19,17,12,55,11,77,13,14,9,8,7,29,53,13,23,23,0,27,0,3,22,9,4,16,8,3,61,21,17,13,21,13,1,6,7,15,15,18,21,2,0,12,plehanov
plehanov_grustnoe_nedorazumenie_I.txt,27,0,15,92,5,8,1,5,8,8,14,13,15,4,88,16,17,25,12,9,4,4,12,27,85,7,32,32,2,14,15,25,3,3,37,0,4,11,9,8,10,14,12,6,78,4,34,1,4,1,30,2,11,15,10,4,3,0,3,3,11,14,5,26,2,4,5,5,9,9,20,2,3,12,1,12,2,5,3,0,1,1,5,6,24,4,7,7,5,5,3,6,2,1,11,17,12,1,2,46,plehanov
plehanov_gzha_breshkovskaya_I.txt,5,2,7,55,1,2,4,4,6,5,12,8,13,6,73,9,4,11,4,3,2,1,10,22,38,0,13,5,2,5,4,13,4,0,19,2,2,5,5,0,2,8,9,0,38,3,14,6,2,0,11,1,3,3,2,1,27,0,5,2,3,7,0,24,2,4,1,2,5,1,15,3,18,1,1,8,0,0,4,0,3,3,1,2,14,9,4,3,5,1,0,4,2,5,2,8,2,4,8,21,plehanov
plehanov_k_agrarnomu_voprosu_v_Rossii_NQ.txt,50,6,21,196,8,19,4,8,27,6,35,33,36,17,147,26,21,52,18,14,4,16,26,78,152,6,60,45,6,17,9,26,13,3,46,9,25,24,16,13,17,27,20,15,139,14,70,12,12,1,42,6,15,15,16,6,7,3,13,5,7,34,11,51,3,12,7,16,13,10,35,5,11,15,0,8,0,2,8,2,11,16,11,8,48,25,8,9,9,16,15,10,1,11,14,11,14,8,57,45,plehanov
plehanov_k_voposu_o_zahvate_vlasti_I.txt,16,2,7,91,7,7,1,3,11,3,11,8,12,6,97,7,6,21,5,5,3,3,11,27,45,6,27,11,1,2,4,15,4,3,26,3,1,8,5,7,6,12,4,7,38,8,9,5,4,2,30,5,7,6,7,3,6,6,4,1,6,3,12,24,3,0,1,5,5,1,8,6,2,17,1,7,3,10,6,13,0,5,4,6,12,7,1,3,6,2,6,4,3,6,1,5,12,3,0,6,plehanov
plehanov_krasniy_cyezd_I.txt,12,6,8,80,3,6,3,4,17,5,16,10,6,5,71,14,9,19,7,6,2,6,14,32,44,2,22,6,2,9,15,14,1,0,26,6,28,12,11,7,2,16,7,4,49,3,17,2,6,0,26,5,10,6,3,2,12,7,13,1,5,6,4,13,2,3,2,2,2,6,18,1,6,11,3,16,1,11,6,1,1,8,2,7,20,6,9,4,3,6,1,5,2,3,3,4,5,6,3,6,plehanov
