chunk_id,author,а,будет,бы,была,были,было,быть,в,во,вопрос,время,все,всего,дело,для,его,ее,если,есть,еще,же,за,и,из,или,им,их,к,как,когда,которые,лишь,между,может,можно,на,не,нет,ни,но,о,об,он,она,они,от,очень,по,под,при,с,своей,своих,себе,себя,так,тем,то,того,только,том,у,чем,что,чтобы,эти,это,этого,этой,этом,я,без,до,именно,ли,оно,потому,уже,более,всех,г,демократии,партии,против,социал,т,борьбы,даже,рабочих,россии,со,теперь,был,этот,мы,нас,нам,пролетариата,политической,революции
trotsky_perm_rev.txt_chunk15,trotsky,2,0,6,1,0,1,1,42,2,6,0,1,1,1,3,2,4,2,0,3,5,3,35,5,4,0,0,12,6,0,2,1,5,1,2,11,16,2,4,11,8,2,0,0,1,5,0,7,1,2,4,0,0,1,0,0,1,2,2,7,4,6,2,13,1,1,3,1,2,4,0,2,3,1,0,1,0,1,4,0,4,2,7,0,2,5,0,1,1,2,0,0,0,1,2,3,0,4,2,8
trotsky_perm_rev.txt_chunk16,trotsky,3,3,2,1,1,0,0,41,1,1,3,2,1,0,5,0,3,2,0,3,9,2,50,5,3,0,0,4,10,4,1,1,0,1,2,14,10,0,0,6,8,0,5,1,1,3,0,5,1,0,12,1,1,0,2,0,1,5,4,2,3,1,2,13,2,0,6,3,1,1,6,0,2,3,1,0,0,1,1,3,8,0,7,3,1,3,0,0,2,3,1,1,0,2,2,1,0,14,0,6
trotsky_perm_rev.txt_chunk17,trotsky,3,5,3,2,1,0,2,48,0,5,3,1,2,4,1,0,2,5,1,2,2,2,33,5,5,2,3,7,10,0,1,2,1,3,0,12,25,0,1,8,15,3,3,1,0,1,3,11,1,2,10,0,0,0,1,1,1,7,2,5,6,0,0,14,2,2,8,3,5,2,6,0,1,3,0,0,0,1,1,0,3,1,3,5,0,6,0,0,3,1,2,1,1,0,3,0,0,6,1,8
trotsky_perm_rev.txt_chunk18,trotsky,8,1,0,1,0,4,1,46,2,3,0,0,1,2,1,1,3,2,4,0,8,6,37,5,3,0,2,6,9,0,0,1,3,2,1,10,25,1,0,4,3,3,5,0,0,6,2,2,0,0,5,0,1,1,0,5,2,4,2,0,3,1,2,20,1,2,11,3,3,2,13,1,1,0,0,2,1,2,0,2,5,0,2,1,0,5,2,2,5,1,0,1,0,1,3,1,1,1,0,8
trotsky_perm_rev.txt_chunk19,trotsky,2,5,2,1,0,4,3,30,3,1,0,3,2,2,0,3,3,1,1,3,5,3,28,6,0,0,1,6,4,1,1,1,3,4,1,13,16,3,1,4,9,0,1,1,2,5,1,3,2,0,10,0,0,0,0,3,0,1,2,2,2,4,2,14,0,0,10,0,1,2,9,0,1,2,1,2,0,0,1,0,4,1,0,1,2,5,1,1,0,1,0,0,0,1,0,1,0,3,1,10
trotsky_perm_rev.txt_chunk2,trotsky,1,4,0,0,5,2,1,39,3,1,3,6,1,1,6,4,2,2,0,1,3,0,35,5,4,0,2,13,8,1,4,3,0,1,0,9,18,2,3,12,1,0,0,5,2,4,0,3,0,4,7,2,3,3,0,1,1,2,3,4,3,1,2,9,1,0,6,2,3,4,9,1,1,1,1,0,0,1,4,1,4,2,2,5,1,2,1,1,1,3,0,2,1,0,0,1,1,5,0,17
trotsky_perm_rev.txt_chunk20,trotsky,8,3,1,0,2,2,2,30,7,1,0,2,3,1,3,1,4,5,3,1,6,2,24,2,6,4,4,7,9,1,1,1,1,3,0,22,22,3,1,6,4,1,5,1,0,2,2,1,1,0,11,0,0,0,1,0,2,6,1,3,1,3,2,11,6,0,8,2,5,1,7,0,1,2,4,0,0,3,0,0,5,3,1,2,0,4,0,2,0,0,0,2,3,0,6,3,2,2,0,10
trotsky_perm_rev.txt_chunk21,trotsky,3,0,4,2,0,3,2,20,4,2,1,2,1,0,3,4,4,4,0,2,2,4,32,5,3,0,9,11,7,0,1,3,1,2,0,21,22,4,1,7,4,1,7,1,4,3,0,2,2,1,8,0,1,2,3,1,1,2,1,4,0,11,1,13,1,0,4,3,1,1,8,0,1,1,2,1,0,2,2,0,2,3,3,0,0,0,1,1,0,0,2,0,1,1,0,8,2,5,0,17
trotsky_perm_rev.txt_chunk22,trotsky,7,0,3,0,0,1,1,39,1,0,0,6,1,0,4,2,2,3,2,5,7,0,30,1,3,0,1,10,14,3,3,0,0,0,0,8,24,0,0,6,12,5,4,0,3,3,1,3,1,4,9,2,2,0,0,2,2,4,1,4,1,6,3,16,1,3,6,1,3,1,10,5,3,3,3,0,1,0,2,2,6,0,0,2,0,6,0,1,0,1,2,3,1,1,1,1,0,2,1,20
trotsky_perm_rev.txt_chunk23,trotsky,11,2,5,1,0,6,1,42,0,1,2,5,1,1,2,1,0,1,4,1,9,2,35,8,2,1,0,5,11,1,2,1,1,1,1,12,28,2,3,8,6,2,2,1,0,0,1,4,2,0,7,0,0,0,0,4,0,6,3,3,3,5,1,17,2,1,8,4,0,1,8,3,4,1,1,2,2,2,1,1,1,0,0,2,0,4,0,0,1,0,1,1,0,1,1,3,0,0,0,6
