,authorFull,authorID,authorGender,titleFull,titleID,publYear / written,"publDate, YYYY-MM-DD",publishedBy,sizeToken/Word,sizeDigit,"size, kb",dataset (Y/N / 1/0),"typeSource (online, digital, manual)",SourceName,"OCR (tesseract, liveText, no)",Prereform2modern (YES/NO),textSource,textValidation (Y/N),comments,
15,"Ульянов (Ленин), Владимир Ильич",lenin,M,"Г. СТРУВЕ, ИЗОБЛИЧЕННЫЙ СВОИМ СОТРУДНИКОМ",struve_izoblichen_I,1903,1903-04-01,"Газета ""Искра"" №37",1873,13632,25,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 37,1 апреля 1903 г.",
16,"Ульянов (Ленин), Владимир Ильич",lenin,M,LES BEAUX ESPRITS SE RENCONTRENT (ПО-РУССКИ ПРИМЕРНО: СВОЙ СВОЕМУ ПОНЕВОЛЕ БРАТ),les_beaux_esprits_I,1903,1903-04-15,"Газета ""Искра"" №38",1040,8020,15,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 38, 15 апреля 1903 г.",
17,"Ульянов (Ленин), Владимир Ильич",lenin,M,ОТВЕТ НА КРИТИКУ НАШЕГО ПРОЕКТА ПРОГРАММЫ,otvet_na_kritiku,1903,1903-07-01,"Издано отдельной брошюрой ""Икс. Об аграрной программе..."" в Женеве ""Заграничной лигой русской революционной социал-демократии""",4100,30326,56,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"Написано в июне - июле, ранее 15 (28), 1903 г. Напечатано в июле 1903 г. в брошюре: Икс. Об аграрной программе. Ленин, Н. Ответ на критику нашего проекта программы. Женева, изд. «Заграничной лиги русской революционной социал-демократии». Печатается по тексту брошюры",
18,"Ульянов (Ленин), Владимир Ильич",lenin,M,НАЦИОНАЛЬНЫЙ ВОПРОС В НАШЕЙ ПРОГРАММЕ,nacionalniy_vopros_I,1903,1903-07-15,"Газета ""Искра"" №44",2458,18898,35,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 44, 15 июля 1903 г.",
19,"Ульянов (Ленин), Владимир Ильич",lenin,M,ПРОЕКТ УСТАВА РСДРП,proekt_ustava_rsdrp,1904,1904-01-01,"Напечатано в книге: «Второй очередной съезд РСДРП. Полный текст протоколов». Женева, изд. ЦК",463,3146,6,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"Написано в конце июня - начале июля 1903 г. Напечатано в 1904 г. в книге: «Второй очередной съезд РСДРП. Полный текст протоколов». Женева, изд. ЦК",
20,"Ульянов (Ленин), Владимир Ильич",lenin,M,ЭРА РЕФОРМ,era_reform_I,1903,1903-08-15,"Газета ""Искра"" №46",1999,15117,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» №46, 15 августа 1903 г.",
21,Dubia,dubia,X,ПОСЛЕДНЕЕ СЛОВО БУНДОВСКОГО НАЦИОНАЛИЗМА,poslednee_slovo_bund_I,1903,1903-08-15,"Газета ""Искра"" №46",983,7237,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"Спорный текст!!! Л.И. Аксельрод [Истпарт, 1925] или Ленин [ПСС] ? добавила в датасет искры - текст сверить! 1903_046_3",
22,Dubia,dubia,M,"ЗАКОН О ВОЗНАГРАЖДЕНИИ РАБОЧИХ, ПОТЕРПЕВШИХ ОТ НЕСЧАСТНЫХ СЛУЧАЕВ",zakon_o_voznagr_I,1903,1903-09-01,"Газета ""Искра"" №47",2090,15640,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 47, 1 сентября 1903 г. Спорный текст!! В сборнике Истпарта, 1925 г. авторство не указано, но есть в ПСС как Ленинское! текст есть в датасете - сверить!",
23,"Ульянов (Ленин), Владимир Ильич",lenin,M,СОРВАЛОСЬ!..,sorvalos_I,1903,1903-09-15,"Газета ""Искра"" №48",1380,9874,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» №48, 15 сентября 1903 г.",
24,"Ульянов (Ленин), Владимир Ильич",lenin,M,ЗАДАЧИ РЕВОЛЮЦИОННОЙ МОЛОДЕЖИ. ПИСЬМО ПЕРВОЕ,zadachi_rev_molodezhy,1903,1903-09-01,Газета «Студент» № 2-3,3666,29140,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,Напечатано в сентябре 1903 г. в газете «Студент» № 2-3. Подпись: Н. Ленин,
